Date,Symbol,Open,High,Low,Close,Volume,RSI,ATR,ATRMA,VWAP,wk_avg_vol_3mo,rel_vol_wk_3mo,p_rel_vol_wk_3mo,c_rel_vol_signal,p_rel_vol_signal,dp_date,dp_count,dp_volume,dp_spot_avg,dp_notional_value,prev_dp_count,prev_dp_volume,rel_low_VWAP_week,ATR_15day_avg,rel_ATR_15day_avg,prev_RSI_15day,prev_rel_low_VWAP_week,prev_rel_ATR_15day_avg,HL_change,OC_Change,HL_per_change,OC_per_change,prev_HL_per_change,prev_OC_per_change,Cc_Cp,close_change_v_prev,prev_OC_per_change
2/22/21,SPY,387.06,392.23,378.23,380.36,109300838,38.77261,11.28616,11.65062,383.6067,50835099.75,2.150105705,1.203576539,up,flat,1/0/00,0,0,0,0,0,0,0.985983821,11.46839,1.220746766,65.51245,0.992559261,0.617792254,14,-6.7,0.035693343,-0.017309978,0.016312758,-0.009975632,-0.024792965,dn_2,-0.009975632
2/15/21,SPY,393.96,394.17,387.74,390.03,61683124,65.51245,8.572329,12.24373,390.6467,51249855.75,1.203576539,0.838980146,flat,flat,1/0/00,0,0,0,0,0,0,0.992559261,10.4080295,0.617792254,74.79407,0.991014884,0.464523521,6.43,-3.93,0.016312758,-0.009975632,0.013743955,0.00865723,-0.006647311,flat,0.00865723
2/8/21,SPY,389.27,392.9,387.5,392.64,45315360,74.79407,10.71466,12.53497,391.0133,54012434.31,0.838980146,1.026757369,flat,flat,1/0/00,0,0,0,0,0,0,0.991014884,11.624815,0.464523521,69.32062,0.969100591,1.272355348,5.4,3.37,0.013743955,0.00865723,0.046577599,0.037434443,0.01271569,up_1,0.037434443
2/1/21,SPY,373.72,388.47,370.376,387.71,57701480,69.32062,16.02931,12.41243,382.1853,56197775.38,1.026757369,1.614032376,flat,up,1/0/00,0,0,0,0,0,0,0.969100591,14.22087,1.272355348,36.35144,0.982760921,1.390493313,18.094,13.99,0.046577599,0.037434443,0.045561747,-0.035447129,0.047666658,up_2,-0.035447129
1/25/21,SPY,383.67,385.85,368.27,370.07,91476260,36.35144,13.65863,11.62736,374.73,56675604.13,1.614032376,0.934062528,up,flat,1/0/00,0,0,0,0,0,0,0.982760921,12.642995,1.390493313,75.77328,0.987480037,0.810798291,17.58,-13.6,0.045561747,-0.035447129,0.021301468,0.011999789,-0.033456958,dn_2,0.011999789
1/18/21,SPY,378.34,384.95,376.75,382.88,53290500,75.77328,9.737259,10.48972,381.5267,57052390.38,0.934062528,1.06047345,flat,flat,1/0/00,0,0,0,0,0,0,0.987480037,10.1134895,0.810798291,59.26722,0.991658867,0.693777849,8.2,4.54,0.021301468,0.011999789,0.019494661,-0.005690089,0.019110993,up_2,-0.005690089
1/11/21,SPY,377.85,381.13,373.7,375.7,61235400,59.26722,10.22452,11.19444,376.8433,57743454.13,1.06047345,1.514078865,flat,up,1/0/00,0,0,0,0,0,0,0.991658867,10.70948,0.693777849,91.42347,0.970635883,1.406873934,7.43,-2.15,0.019494661,-0.005690089,0.043697082,0.015853561,-0.014583224,dn_1,0.015853561
1/4/21,SPY,375.31,381.49,364.82,381.26,85015720,91.42347,12.88904,10.80889,375.8567,56150126.63,1.514078865,0.956358984,up,flat,1/0/00,0,0,0,0,0,0,0.970635883,11.848965,1.406873934,83.50317,0.993853774,0.402345876,16.67,5.95,0.043697082,0.015853561,0.010222602,0.005756712,0.019738954,up_2,0.005756712
12/28/20,SPY,371.74,374.66,370.83,373.88,55164176,83.50317,9.108073,9.930273,373.1233,57681453.25,0.956358984,0.916159151,flat,flat,1/0/00,0,0,0,0,0,0,0.993853774,9.519173,0.402345876,72.17598,0.978909229,1.431858191,3.83,2.14,0.010222602,0.005756712,0.043412778,0.011042003,0.013224932,up_1,0.011042003
12/21/20,SPY,364.97,378.46,362.03,369,54358576,72.17598,12.55615,10.39305,369.83,59333114.69,0.916159151,1.320992733,flat,flat,1/0/00,0,0,0,0,0,0,0.978909229,11.4746,1.431858191,73.41555,0.98851841,0.852453888,16.43,4.03,0.043412778,0.011042003,0.021451968,0.001464844,-0.000487567,flat,0.001464844
12/14/20,SPY,368.64,372.46,364.47,369.18,78473880,73.41555,8.682292,10.06359,368.7033,59405232.19,1.320992733,0.908448729,flat,flat,1/0/00,0,0,0,0,0,0,0.98851841,9.372941,0.852453888,67.45324,0.990160002,0.757854975,7.99,0.54,0.021451968,0.001464844,0.020994475,-0.007370874,0.007862408,flat,-0.007370874
12/7/20,SPY,369.02,371.05,363.26,366.3,56187040,67.45324,9.374583,11.18344,366.87,61849434.31,0.908448729,0.995919664,flat,flat,1/0/00,0,0,0,0,0,0,0.990160002,10.2790115,0.757854975,82.69396,0.98056185,0.881832031,7.79,-2.72,0.020994475,-0.007370874,0.028876572,0.019347904,-0.009598486,dn_1,0.019347904
11/30/20,SPY,362.83,369.85,359.17,369.85,63587280,82.69396,10.95917,13.26313,366.29,63847800.5,0.995919664,0.781869984,flat,down,1/0/00,0,0,0,0,0,0,0.98056185,12.11115,0.881832031,76.54298,0.983264294,0.688639809,10.68,7.02,0.028876572,0.019347904,0.025578011,0.017885132,0.016993428,up_1,0.017885132
11/23/20,SPY,357.28,364.18,354.865,363.67,49872800,76.54298,11.23833,15.815,360.905,63786564.25,0.781869984,1.092908077,down,flat,1/0/00,0,0,0,0,0,0,0.983264294,13.526665,0.688639809,65.51621,0.9908511,0.568924963,9.315,6.39,0.025578011,0.017885132,0.023788522,-0.015651837,0.02347114,up_2,-0.015651837
11/16/20,SPY,360.98,362.78,354.15,355.33,68319220,65.51621,13.16167,17.17625,357.42,62511405.5,1.092908077,1.488806313,flat,flat,1/0/00,0,0,0,0,113,44496793,0.9908511,15.16896,0.568924963,73.1279,0.979999905,0.812873525,8.63,-5.65,0.023788522,-0.015651837,0.038064658,-0.016127703,-0.007735269,flat,-0.016127703
11/9/20,SPY,363.97,364.38,350.51,358.1,89516617,73.1279,17.69334,16.43251,357.6633,60126435.69,1.488806313,1.616649257,flat,up,11/9/20,113,44496793,351.561952,15640000000,101,41238799,0.979999905,17.062925,0.812873525,65.45937,0.953505672,1.382302867,13.87,-5.87,0.038064658,-0.016127703,0.070842443,0.060448213,0.022675348,up_2,0.060448213
11/2/20,SPY,330.2,352.19,327.24,350.16,92666937,65.45937,21.16667,14.93251,343.1967,57320372.13,1.616649257,1.805764977,up,up,11/2/20,101,41238799,337.96408,14011000000,62,22322278,0.953505672,18.04959,1.382302867,20.42241,0.975486738,1.384117355,24.95,19.96,0.070842443,0.060448213,0.059420374,-0.045567474,0.07233417,up_2,-0.045567474
10/26/20,SPY,342.13,342.98,322.6,326.54,99121520,20.42241,16.68334,12.76503,330.7067,54891705.88,1.805764977,1.074658474,up,flat,10/26/20,62,22322278,334.976627,7474664724,41,11548522,0.975486738,14.724185,1.384117355,69.95522,0.986666891,0.801783506,20.38,-15.59,0.059420374,-0.045567474,0.024847565,-0.008231751,-0.055642316,dn_2,-0.008231751
10/19/20,SPY,348.65,349.33,340.65,345.78,59319080,69.95522,10.18668,11.46505,345.2533,55198075.88,1.074658474,1.297996197,flat,flat,10/19/20,41,11548522,344.778995,3979766834,129,50362219,0.986666891,10.825865,0.801783506,80.12293,0.98559027,0.913170791,8.68,-2.87,0.024847565,-0.008231751,0.030760974,-0.006579136,-0.004347951,flat,-0.006579136
10/12/20,SPY,349.59,354.02,343.13,347.29,72292420,80.12293,11.69336,12.1576,348.1467,55695402,1.297996197,1.058604073,flat,flat,10/12/20,129,50362219,349.364623,17591000000,37,11565982,0.98559027,11.92548,0.913170791,79.5454,0.975266873,1.022893653,10.89,-2.3,0.030760974,-0.006579136,0.037339859,0.032107362,0.00126856,flat,0.032107362
10/5/20,SPY,336.06,347.35,334.38,346.85,59522480,79.5454,12.49672,12.86271,342.86,56227329.5,1.058604073,1.410476723,flat,flat,10/5/20,37,11565982,340.347919,3937786086,131,45079172,0.975266873,12.679715,1.022893653,52.12574,0.98983831,0.611178907,12.97,10.79,0.037339859,0.032107362,0.022288481,0.001860633,0.038970764,up_2,0.001860633
9/28/20,SPY,333.22,338.74,331.19,333.84,79665402,52.12574,11.48344,13.22291,334.59,56481188.75,1.410476723,1.402540756,flat,flat,9/28/20,131,45079172,334.121892,15068000000,75,27443347,0.98983831,12.353175,0.611178907,26.23233,0.979249285,0.833098263,7.55,0.62,0.022288481,0.001860633,0.03442029,0.00930304,0.015544672,up_1,0.00930304
9/21/20,SPY,325.7,331.2,319.8,328.73,80785159,26.23233,12.95689,14.41083,326.5767,57599152.56,1.402540756,1.331851662,flat,flat,9/21/20,75,27443347,327.290755,8973463373,132,46612378,0.979249285,13.68386,0.833098263,30.34324,0.982259902,1.084326701,11.4,3.03,0.03442029,0.00930304,0.043986475,-0.020267267,-0.005806744,flat,-0.020267267
9/14/20,SPY,337.49,343.06,327.97,330.65,79627760,30.34324,14.51378,13.31916,333.8933,59787258.81,1.331851662,1.538073399,flat,up,9/14/20,132,46612378,337.293867,15703000000,90,31955958,0.982259902,13.91647,1.084326701,37.25616,0.985412325,0.92726949,15.09,-6.84,0.043986475,-0.020267267,0.033971515,-0.007870274,-0.010207747,dn_1,-0.007870274
9/7/20,SPY,336.71,342.64,331,334.06,95294274,37.25616,13.93755,11.16842,335.9,61956909.25,1.538073399,1.551103045,up,up,9/7/20,90,31955958,338.439239,10809000000,122,39188061,0.985412325,12.552985,0.92726949,59.99755,0.96952287,1.854790704,11.64,-2.65,0.033971515,-0.007870274,0.06656446,-0.022206365,-0.024841638,dn_2,-0.022206365
8/31/20,SPY,350.35,358.75,334.87,342.57,95561139,59.99755,16.2351,9.514436,345.3967,61608504.56,1.551103045,0.753799503,up,down,8/31/20,122,39188061,351.059023,13761000000,59,17775702,0.96952287,12.874768,1.854790704,97.2452,0.978477837,1.396551832,23.88,-7.78,0.06656446,-0.022206365,0.032132755,0.024728166,-0.022847852,dn_2,0.024728166
8/24/20,SPY,342.12,350.72,339.4504,350.58,48893020,97.2452,8.590206,7.548973,346.9168,64862101.69,0.753799503,0.7107971,down,down,8/24/20,59,17775702,344.398927,6123562437,61,22747446,0.978477837,8.0695895,1.396551832,93.5403,0.991364524,0.671198149,11.2696,8.46,0.032132755,0.024728166,0.013246203,0.004557022,0.032697066,up_2,0.004557022
8/17/20,SPY,337.94,339.72,335.22,339.48,47916680,93.5403,5.910812,7.498045,338.14,67412599.19,0.7107971,0.722137683,down,down,8/17/20,61,22747446,338.094616,7692058109,78,25062285,0.991364524,6.7044285,0.671198149,91.78944,0.988978583,0.794288521,4.5,1.54,0.013246203,0.004557022,0.018534941,0.005312481,0.007837549,flat,0.005312481
8/10/20,SPY,335.06,338.28,332.01,336.84,51357100,91.78944,7.321624,8.46609,335.71,71118155.5,0.722137683,0.654769156,down,down,8/10/20,78,25062285,335.526471,8411517022,46,15945565,0.988978583,7.893857,0.794288521,90.27911,0.985970536,0.798685107,6.27,1.78,0.018534941,0.005312481,0.021350932,0.019036306,0.006784828,flat,0.019036306
8/3/20,SPY,328.32,334.88,327.73,334.57,47769920,90.27911,8.373248,9.53118,332.3933,72956888,0.654769156,0.792250819,down,down,8/3/20,46,15945565,329.68993,5256104314,71,25114921,0.985970536,8.952214,0.798685107,82.79821,0.985742142,0.741433893,7.15,6.25,0.021350932,0.019036306,0.021400361,0.015203806,0.024653926,up_2,0.015203806
7/27/20,SPY,321.63,326.63,319.64,326.52,60262860,82.79821,8.386496,10.46886,324.2633,76065380.5,0.792250819,0.81888163,down,flat,7/27/20,71,25114921,322.63478,8106783173,73,22522503,0.985742142,9.427678,0.741433893,73.14524,0.990057435,0.712309809,6.99,4.89,0.021400361,0.015203806,0.024398741,-0.001711104,0.017576664,up_1,-0.001711104
7/20/20,SPY,321.43,327.23,319.246,320.88,64221000,73.14524,9.782992,12.63422,322.452,78425254.19,0.81888163,0.984354307,flat,flat,7/20/20,73,22522503,324.333733,7302534432,69,23206420,0.990057435,11.208606,0.712309809,77.46123,0.978301768,0.845914783,7.984,-0.55,0.024398741,-0.001711104,0.034175334,0.004966732,-0.002610966,flat,0.004966732
7/13/20,SPY,320.13,323.04,312,321.72,80249638,77.46123,11.58198,14.51994,318.92,81525155.56,0.984354307,0.766704622,flat,down,7/13/20,69,23206420,318.69749,7407906805,61,17573561,0.978301768,13.05096,0.845914783,72.0568,0.985087035,0.502769597,11.04,1.59,0.034175334,0.004966732,0.022650057,0.003856244,0.013004188,up_1,0.003856244
7/6/20,SPY,316.37,317.88,310.68,317.59,68033320,72.0568,12.12397,16.51738,315.3833,88734720.06,0.766704622,0.887320745,down,flat,7/6/20,61,17573561,314.813054,5532519361,50,15115018,0.985087035,14.320675,0.502769597,64.74204,0.967557233,0.942261613,7.2,1.22,0.022650057,0.003856244,0.053120051,0.035897946,0.017166832,up_1,0.035897946
6/29/20,SPY,301.41,315.7,298.93,312.23,83727150,64.74204,17.04794,18.54727,308.9533,94359509.19,0.887320745,0.939926671,flat,flat,6/29/20,50,15115018,304.356394,4603181500,87,26762799,0.967557233,17.797605,0.942261613,41.57113,0.982811144,0.848850562,16.77,10.82,0.053120051,0.035897946,0.047949126,-0.025780058,0.040593234,up_2,-0.025780058
6/22/20,SPY,307.99,314.5,299.42,300.05,98672580,41.57113,17.32587,18.20453,304.6567,104979019.1,0.939926671,0.981010295,flat,flat,6/22/20,87,26762799,307.651945,8232826257,120,43932674,0.982811144,17.7652,0.848850562,60.15971,0.96655871,1.029143829,15.08,-7.94,0.047949126,-0.025780058,0.059878342,0.035635192,-0.027831778,dn_2,0.035635192
6/15/20,SPY,298.02,315.64,296.74,308.64,114637460,60.15971,19.57175,17.15781,307.0067,116856531.1,0.981010295,1.01346166,flat,flat,6/15/20,120,43932674,309.072236,13608000000,131,39975546,0.96655871,18.36478,1.029143829,52.92219,0.967156831,1.369663742,18.9,10.62,0.059878342,0.035635192,0.076713769,-0.050234155,0.014562309,up_1,-0.050234155
6/8/20,SPY,320.3,323.41,298.6,304.21,130008681,52.92219,20.2435,15.98437,308.74,128281795.1,1.01346166,0.657851333,flat,down,6/8/20,131,39975546,312.172896,12521000000,114,37824631,0.967156831,18.113935,1.369663742,90.2538,0.963446204,1.169803214,24.81,-16.09,0.076713769,-0.050234155,0.056695977,0.051775245,-0.047378969,dn_2,0.051775245
6/1/20,SPY,303.62,321.275,303.06,319.34,89986664,90.2538,15.677,15.46499,314.5583,136788753.8,0.657851333,0.691251214,down,down,6/1/20,114,37824631,309.719527,11718000000,88,29916791,0.963446204,15.570995,1.169803214,81.71954,0.977685582,0.799529928,18.215,15.72,0.056695977,0.051775245,0.037072741,0.007915742,0.049355941,up_2,0.007915742
5/25/20,SPY,301.93,306.84,295.4646,304.32,100950574,81.71954,13.13899,15.31623,302.2082,146040356.9,0.691251214,0.611512343,down,down,5/25/20,88,29916791,299.570757,8951674903,95,29247292,0.977685582,14.22761,0.799529928,72.08538,0.989370243,0.38199155,11.3754,2.39,0.037072741,0.007915742,0.019874442,0.008155605,0.030056864,up_2,0.008155605
5/18/20,SPY,293.05,297.87,291.95,295.44,88724640,72.08538,14.87799,16.11746,295.0867,145090513.7,0.611512343,0.782363677,down,down,5/18/20,95,29247292,291.777852,8523187443,83,26320204,0.989370243,15.497725,0.38199155,56.21751,0.959531928,1.200704036,5.92,2.39,0.019874442,0.008155605,0.072219956,-0.013983605,0.031996647,up_2,-0.013983605
5/11/20,SPY,290.34,294.24,272.99,286.28,110646001,56.21751,18.16598,17.22992,284.5033,141425278.6,0.782363677,0.549375862,down,down,5/11/20,83,26320204,287.699936,7559813740,79,22920079,0.959531928,17.69795,1.200704036,75.44433,0.968618536,0.819169272,21.25,-4.06,0.072219956,-0.013983605,0.047175286,0.041675572,-0.02106415,dn_2,0.041675572
5/4/20,SPY,280.74,292.95,279.13,292.44,77189640,75.44433,15.08196,18.65954,288.1733,140504243.6,0.549375862,0.794098611,down,down,5/4/20,79,22920079,284.757386,6528216002,120,34954317,0.968618536,16.87075,0.819169272,61.79989,0.98297222,0.681585533,13.82,11.7,0.047175286,0.041675572,0.045306565,-0.008171998,0.034124262,up_2,-0.008171998
4/27/20,SPY,285.12,294.88,281.52,282.79,109998740,61.79989,16.34392,22.85879,286.3967,138520252.4,0.794098611,0.748162521,down,down,4/27/20,120,34954317,289.172967,10106000000,70,23607604,0.98297222,19.601355,0.681585533,62.22988,0.969444432,0.64527628,13.36,-2.33,0.045306565,-0.008171998,0.051505067,0.00127384,-0.00063611,flat,0.00127384
